intrinsic_dim,observed_dim,model,n,test_mean,test_std,train_mean,train_std,gap_mean,gap_std,snr_mean,snr_std,contrast_mean,contrast_std,test_se,train_se,gap_se,test_ci_low,test_ci_high,train_ci_low,train_ci_high,gap_ci_low,gap_ci_high,snr_se,contrast_se,snr_ci_low,snr_ci_high,contrast_ci_low,contrast_ci_high
768,128,logreg,20,0.7212500000000001,0.023760962382305434,0.7819375,0.011433505797635345,0.060687499999999936,0.02329346335222655,0.5626210285059041,0.004374017584162742,0.3702829764946373,0.007861880124395577,0.00531311270976503,0.0025566096184650583,0.005208576748697869,0.7108362990888606,0.7316637009111395,0.7769265451478085,0.7869484548521914,0.05047868957255211,0.07089631042744776,0.0009780600652967298,0.0017579698389103013,0.5607040307779225,0.5645380262338857,0.3668373556103731,0.3737285973789015
768,256,logreg,20,0.7448333333333333,0.020646707962956264,0.8574791666666666,0.014103623269482394,0.11264583333333329,0.021476593320927644,1.5497059266125202,0.013664699387810742,0.24021992287527608,0.0038842531748211396,0.004616744251675641,0.0031536660359610465,0.004802312259071216,0.7357845146000491,0.7538821520666176,0.8512979812361829,0.8636603520971502,0.1032333013055537,0.12205836536111288,0.003055519672324458,0.0008685454140719442,1.5437171080547643,1.555694745170276,0.23851757386369507,0.24192227188685708
768,512,logreg,20,0.73525,0.02260307772864167,0.9995208333333334,0.0010837971341861809,0.26427083333333334,0.021984375681897525,8.254693903428128,0.09528482395960623,0.15271784212896805,0.0022177747854661514,0.005054201830195432,0.00024234440658597615,0.004915855846761616,0.7253437644128169,0.745156235587183,0.9990458382964249,0.9999958283702419,0.2546357558736806,0.2739059107929861,0.02130633435977802,0.0004959095179087327,8.212933488082964,8.296454318773293,0.15174585947386693,0.15368982478406917
768,768,logreg,20,0.7323333333333333,0.01904442329080964,1.0,0.0,0.2676666666666666,0.019044423290809624,1356884938598999.5,19681778784089.57,0.11376769338728902,0.0013979757753145988,0.00425846250705306,0.0,0.004258462507053056,0.7239867468195093,0.7406799198471573,1.0,1.0,0.25932008015284264,0.2760132531804906,4400979527933.743,0.00031259688645014154,1348259018724249.2,1365510858473749.8,0.11315500348984675,0.1143803832847313
64,16,mlp_base,20,0.6750833333333334,0.02778612447698116,0.7068749999999999,0.023110597893923467,0.031791666666666614,0.018930436627850208,0.6003172846608384,0.023983072410539968,1.6081029281192785,0.049064869327457614,0.006213166316180066,0.005167686789147634,0.004232974314362495,0.6629055273536204,0.6872611393130463,0.6967463338932706,0.7170036661067293,0.023495037010516126,0.0400882963228171,0.005362778021926711,0.01097123831233396,0.5898062397378621,0.6108283295838148,1.586599301027104,1.629606555211453
64,32,mlp_base,20,0.7046666666666667,0.02563007188431827,0.7680729166666667,0.02980106778732303,0.06340624999999997,0.02840922217207847,1.8466153623181722,0.08100040211512703,0.9302305204793961,0.022776597648882065,0.005731058300154177,0.0066637213374533535,0.0063524951964661685,0.6934337923983644,0.7158995409349689,0.755012022845258,0.7811338104880753,0.05095535941492628,0.07585714058507366,0.018112240533424178,0.005093002063906218,1.8111153708726608,1.8821153537636837,0.92024823643414,0.9402128045246523
64,64,mlp_base,20,0.7791666666666667,0.02477087990419538,0.8963802083333332,0.03468900435005134,0.11721354166666662,0.03389050639017767,17.084542671070473,0.8910970374033794,0.5726577940426866,0.009554729062992307,0.005538937132826435,0.00775669717985007,0.007578147608032828,0.7683103498863268,0.7900229834470065,0.8811770818608271,0.9115833348058393,0.10236037235492228,0.13206671097841097,0.1992553550182629,0.0021365023691443667,16.694002175234676,17.47508316690627,0.5684702493991636,0.5768453386862096
64,128,mlp_base,20,0.7705833333333334,0.024609672182137696,0.9821614583333333,0.021194023361163716,0.21157812499999995,0.035384051594294655,21.016396832658764,1.0811851324732202,0.36848865497854566,0.0049776199929813855,0.005502889990324548,0.0047391276952280645,0.007912114468420266,0.7597976689522973,0.7813689977143695,0.9728727680506863,0.9914501486159804,0.19607038064189622,0.22708586935810368,0.24176034524722356,0.0011130296670468403,20.542546555974205,21.490247109343322,0.36630711683113387,0.37067019312595745
64,256,mlp_base,20,0.7433333333333334,0.01676288018351211,0.999296875,0.0016836697786713228,0.2559635416666667,0.016360184912046695,32.77282051036454,1.6598589869025588,0.23998098971791118,0.004284293303938163,0.0037482939589017225,0.0003764800076771103,0.0036582485587802827,0.735986677173886,0.7506799894927808,0.9985589741849529,1.0000347758150472,0.24879337449145733,0.26313370884187604,0.37115575277780544,0.0009579971063152898,32.04535523492004,33.50028578580904,0.23810331538953322,0.24185866404628914
64,512,mlp_base,20,0.6728333333333334,0.023062969990773546,1.0,0.0,0.32716666666666666,0.023062969990773563,105.84469602299575,5.236737259982265,0.15314449261382465,0.002236621958696584,0.005157036866240734,0.0,0.005157036866240738,0.6627255410755015,0.6829411255911653,1.0,1.0,0.3170588744088348,0.33727445892449853,1.1709700493626332,0.0005001238739614289,103.54959472624499,108.1397973197465,0.15216424982086024,0.15412473540678906
