model,intrinsic_dim,observed_dim,n,test_accuracy_mean,test_accuracy_std,generalization_gap_mean,generalization_gap_std,snr_proxy_mean,snr_proxy_std,test_accuracy_se,generalization_gap_se,snr_proxy_se,test_accuracy_ci_low,test_accuracy_ci_high,generalization_gap_ci_low,generalization_gap_ci_high,snr_proxy_ci_low,snr_proxy_ci_high
knn_k11,768,64,20,0.5103333333333333,0.029197853001257507,0.13093749999999998,0.023154023986218616,0.2558005951858257,0.0017001916914361475,0.006528838410785803,0.005177397158584548,0.00038017441968315725,0.4975368100481931,0.5231298566184734,0.12078980156917427,0.1410851984308257,0.2550554533232467,0.2565457370484047
knn_k11,768,128,20,0.485,0.02220320823980965,0.13693749999999996,0.024117567712528976,0.5626210285059041,0.004374017584162742,0.004964788294279782,0.005392852085716889,0.0009780600652967298,0.4752690149432116,0.49473098505678836,0.12636750991199486,0.14750749008800507,0.5607040307779225,0.5645380262338857
knn_k11,768,256,20,0.45958333333333334,0.021424933553637407,0.13566666666666663,0.019646640859852443,1.5497059266125202,0.013664699387810742,0.004790760783934938,0.0043931224492154974,0.003055519672324458,0.4501934421968209,0.4689732244698458,0.12705614666620427,0.144277186667129,1.5437171080547643,1.555694745170276
knn_k11,768,512,20,0.4304166666666666,0.02069603883335681,0.14239583333333328,0.0250645639253126,8.254693903428128,0.09528482395960623,0.004627774969636127,0.005604606876338793,0.02130633435977802,0.4213462277261798,0.4394871056071534,0.13141080385570925,0.1533808628109573,8.212933488082964,8.296454318773293
knn_k11,768,768,20,0.41516666666666663,0.016221240857923293,0.1424583333333333,0.019886786659129508,1356884938598999.5,19681778784089.57,0.0036271797237713488,0.004446820682384951,4400979527933.743,0.40805739440807476,0.4222759389252585,0.1337425647958588,0.1511741018708078,1348259018724249.2,1365510858473749.8
linear_svm,64,16,20,0.6824166666666667,0.027361960832235625,0.007187499999999965,0.017150794804524336,0.6003172846608384,0.023983072410539968,0.006118320441856557,0.003835034305106663,0.005362778021926711,0.6704247586006278,0.6944085747327056,-0.00032916723800909507,0.014704167238009025,0.5898062397378621,0.6108283295838148
linear_svm,64,32,20,0.7139166666666668,0.02596823858494599,0.016479166666666614,0.022574387672784593,1.8466153623181722,0.08100040211512703,0.005806674673187217,0.005047786538677963,0.018112240533424178,0.7025355843072199,0.7252977490261137,0.006585505050857808,0.02637282828247542,1.8111153708726608,1.8821153537636837
linear_svm,64,64,20,0.7905833333333334,0.025324069174051864,0.021895833333333288,0.01868652755689248,17.084542671070473,0.8910970374033794,0.0056626340140086915,0.004178434588063466,0.1992553550182629,0.7794845706658764,0.8016820960007904,0.013706101540728896,0.03008556512593768,16.694002175234676,17.47508316690627
linear_svm,64,128,20,0.7846666666666666,0.02404673811632443,0.03956249999999996,0.018596828059884014,21.016396832658764,1.0811851324732202,0.005377014106523667,0.004158377170777618,0.24176034524722356,0.7741277190178802,0.795205614315453,0.03141208074527583,0.04771291925472409,20.542546555974205,21.490247109343322
linear_svm,64,256,20,0.7699166666666667,0.02389349540789331,0.08052083333333329,0.018601446113531622,32.77282051036454,1.6598589869025588,0.005342747995212851,0.004159409798965598,0.37115575277780544,0.7594448805960495,0.7803884527372839,0.07236839012736072,0.08867327653930586,32.04535523492004,33.50028578580904
linear_svm,64,512,20,0.718,0.018453355136383024,0.20131249999999995,0.02815484121895073,105.84469602299575,5.236737259982265,0.0041262956497897345,0.006295613886128686,1.1709700493626332,0.7099124605264121,0.7260875394735878,0.18897309678318772,0.21365190321681218,103.54959472624499,108.1397973197465
linear_svm,64,768,20,0.6360833333333333,0.021159896693277468,0.363875,0.021075392027737165,123920204458713.38,6014647357990.34,0.0047314967403041435,0.004712600922647743,1344916035315.5913,0.6268095997223372,0.6453570669443295,0.3546383021916104,0.3731116978083896,121284169029494.81,126556239887931.94
linear_svm,256,16,20,0.6796666666666666,0.016671928993798792,0.013916666666666624,0.018231074461572228,0.14508965029140222,0.0030281609694241232,0.0037279566546183766,0.004076592179893587,0.0006771173774444001,0.6723598716236147,0.6869734617097186,0.005926545994075194,0.021906787339258056,0.1437625002316112,0.14641680035119325
linear_svm,256,32,20,0.6966666666666667,0.018948992782873167,0.021895833333333326,0.0183430372045877,0.3111405829979862,0.0069208201744225106,0.004237123596765731,0.004101627810326581,0.0015475424370060683,0.6883619044170058,0.7049714289163275,0.013856642825093227,0.029935023841573427,0.3081073998214543,0.3141737661745181
