seed,intrinsic_dim,delta,ambient_dim,noise_sigma,observed_dim,model,train_accuracy,test_accuracy,generalization_gap,pca_explained_var,pca_total_var,pca_remaining_var,snr_proxy,nn_mean,far_mean,distance_contrast,best_val_accuracy,best_epoch
0,256,2.25,768,0.1,256,mlp_wide,0.984375,0.7033333333333334,0.28104166666666663,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,0.7479166666666667,4.0
0,256,2.25,768,0.1,512,logreg,0.9829166666666667,0.68,0.3029166666666666,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,,
0,256,2.25,768,0.1,512,linear_svm,0.9225,0.715,0.20750000000000002,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,,
0,256,2.25,768,0.1,512,knn_k11,0.5720833333333334,0.4266666666666667,0.1454166666666667,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,,
0,256,2.25,768,0.1,512,mlp_base,1.0,0.6433333333333333,0.3566666666666667,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,0.6354166666666666,31.0
0,256,2.25,768,0.1,512,mlp_reg,1.0,0.6733333333333333,0.32666666666666666,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,0.6875,12.0
0,256,2.25,768,0.1,512,mlp_wide,1.0,0.6433333333333333,0.3566666666666667,480.88309613392227,482.2774655550379,1.3943694211156412,344.8749584232603,29.77811630194459,34.20320375669582,0.1486019938226335,0.65625,7.0
0,256,2.25,768,0.1,768,logreg,1.0,0.6516666666666666,0.3483333333333334,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,,
0,256,2.25,768,0.1,768,linear_svm,1.0,0.6383333333333333,0.3616666666666667,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,,
0,256,2.25,768,0.1,768,knn_k11,0.57,0.37666666666666665,0.1933333333333333,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,,
0,256,2.25,768,0.1,768,mlp_base,1.0,0.6033333333333334,0.3966666666666666,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,0.5770833333333333,19.0
0,256,2.25,768,0.1,768,mlp_reg,1.0,0.605,0.395,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,0.6,39.0
0,256,2.25,768,0.1,768,mlp_wide,1.0,0.59,0.41000000000000003,482.2774655550378,482.2774655550379,1e-12,482277465555037.8,37.00611071836006,41.206506858174365,0.11350547404946108,0.5604166666666667,49.0
0,768,2.5,768,0.1,16,logreg,0.6329166666666667,0.6283333333333333,0.004583333333333384,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,,
